"","X1","X2"
"1",1969,3438.2
"2",1970,5078.7
"3",1971,2935.6
"4",1972,3988.8
"5",1973,4238.6
"6",1974,2468.8
"7",1975,4139.6
"8",1976,4041.7
"9",1977,3460.4
"10",1978,2578.7
"11",1979,4903.7
"12",1980,3800
"13",1981,3362.3
"14",1982,2241.3
"15",1983,3345.3
"16",1984,3284.1
"17",1985,3084.7
"18",1986,2867.6
"19",1987,2351
"20",1988,4997
"21",1989,4954
"22",1990,6500
"23",1991,5938
"24",1992,2928
"25",1993,2843
"26",1994,5680
"27",1995,2550
"28",1996,3560
"29",1997,4427
"30",1998,2411
"31",1999,3193
"32",2000,1747.292
"33",2001,1763.817
"34",2002,1421.271
"35",2003,1332.64
"36",2004,4211
"37",2005,2785.752
"38",2006,2329
"39",2007,3005.669
"40",2008,2034.162
"41",2009,2048.347
"42",2010,1501.964
"43",2011,1448.289
"44",2012,NA
"45",2013,3619.191
"46",2014,2502.756
"47",2015,NA
