"","X1","X2"
"1",1966,NA
"2",1967,2010
"3",1968,1111
"4",1969,1784.1
"5",1970,1590
"6",1971,1130.6
"7",1972,1778.4
"8",1973,1548.5
"9",1974,1475.8
"10",1975,2592
"11",1976,1453.5
"12",1977,1112.3
"13",1978,1597.7
"14",1979,2335
"15",1980,1648.6
"16",1981,1077.5
"17",1982,1578.1
"18",1983,1939.3
"19",1984,717.2
"20",1985,707.1
"21",1986,588.1
"22",1987,333.8
"23",1988,1743
"24",1989,1083
"25",1990,786.4
"26",1991,979.1
"27",1992,610.3
"28",1993,997.6
"29",1994,2560
"30",1995,448.8
"31",1996,914.5
"32",1997,1698
"33",1998,502
"34",1999,1343
"35",2000,29.25
