"","X1","X2"
"1",1965,17.1
"2",1966,10900
"3",1967,11070
"4",1968,4746.1
"5",1969,8485.1
"6",1970,9088.7
"7",1971,3939.8
"8",1972,3696.03
"9",1973,9610.1
"10",1974,5140.77
"11",1975,6977.56
"12",1976,8599.18
"13",1977,9840.5
"14",1978,12180.8
"15",1979,9300
"16",1980,10143
"17",1981,11240
"18",1982,3641.3
"19",1983,6376.3
"20",1984,2350.3
"21",1985,4985.6
"22",1986,4446.5
"23",1987,710.55
"24",1988,9340
"25",1989,3752
"26",1990,7540
"27",1991,8204.6
"28",1992,10238
"29",1993,6602
"30",1994,10503
"31",1995,9311
"32",1996,3200
"33",1997,3772.2
"34",1998,3438
"35",1999,8175
"36",2000,7238.876
"37",2001,7436.775
"38",2002,7502.818
"39",2003,7539.044
"40",2004,2511.732
"41",2005,6103.516
"42",2006,7506.624
"43",2007,6980.085
"44",2008,4688.008
"45",2009,783.728
"46",2010,7613.135
"47",2011,5890.579
"48",2012,7650.498
"49",2013,7814.425
"50",2014,4874.897
"51",2015,5554.595
"52",2016,29.602
