"","X1","X2"
"1",1986,18.4
"2",1987,139.2
"3",1988,1913
"4",1989,1251
"5",1990,2824
"6",1991,1196
"7",1992,3058
"8",1993,331.4
"9",1994,2247
"10",1995,7862
"11",1996,1567
"12",1997,253.2
"13",1998,1360
"14",1999,581.2
"15",2000,6652.802
"16",2001,1150.634
"17",2002,308.522
"18",2003,687.483
"19",2004,218.701
"20",2005,1645.424
"21",2006,430.918
"22",2007,303.611
"23",2008,366.419
"24",2009,201.472
"25",2010,702.505
"26",2011,204.631
"27",2012,1086.546
"28",2013,629.542
"29",2014,53.699
"30",2015,59.124
"31",2016,11.12
