"","X1","X2"
"1",1971,42.8
"2",1972,4621.2
"3",1973,4550
"4",1974,465.7
"5",1975,5346.1
"6",1976,5138.4
"7",1977,4704.6
"8",1978,8166.8
"9",1979,4668.1
"10",1980,4821.3
"11",1981,4556.2
"12",1982,3493.8
"13",1983,2501
"14",1984,6330.3
"15",1985,3079.7
"16",1986,6914.5
"17",1987,1922.5
"18",1988,1848
"19",1989,2380.6
"20",1990,7464.375
"21",1991,6147
"22",1992,6291
"23",1993,2614
"24",1994,7418
"25",1995,12223
"26",1996,2352
"27",1997,NA
"28",1998,NA
"29",1999,NA
"30",2000,NA
"31",2001,NA
"32",2002,NA
"33",2003,1539.641
"34",2004,4702.247
"35",2005,7127.402
"36",2006,6546.524
"37",2007,4788.291
"38",2008,2602.92
"39",2009,1789.181
"40",2010,455.999
"41",2011,1628.92
"42",2012,2023.135
"43",2013,1445.397
"44",2014,29.117
"45",2015,24.147
