"","X1","X2"
"1",1968,119.6
"2",1969,99.1
"3",1970,466
"4",1971,424.7
"5",1972,275.5
"6",1973,367.5
"7",1974,154.5
"8",1975,1388.7
"9",1976,921.7
"10",1977,155.9
"11",1978,1419.6
"12",1979,662.5
"13",1980,143
"14",1981,380.8
"15",1982,684.2
"16",1983,5762
"17",1984,132.1
"18",1985,283.2
"19",1986,194.5
"20",1987,247.3
"21",1988,1356
"22",1989,2656
"23",1990,156.6
"24",1991,1077
"25",1992,121.6
"26",1993,76.89
"27",1994,744.4
"28",1995,915.9
"29",1996,415.1
"30",1997,196.5
"31",1998,1659
"32",1999,225.9
"33",2000,86.121
"34",2001,922.1
"35",2002,15.668
"36",2003,41.984
"37",2004,66.76
"38",2005,416
"39",2006,272.998
"40",2007,335.38
"41",2008,573.688
"42",2009,89.727
"43",2010,461.494
"44",2011,282
"45",2012,23.483
"46",2013,294.179
"47",2014,37.106
"48",2015,32.036
