"","X1","X2"
"1",1984,NA
"2",1985,NA
"3",1986,NA
"4",1987,69.8
"5",1988,1867
"6",1989,1103
"7",1990,1678
"8",1991,215.9
"9",1992,329.4
"10",1993,126.6
"11",1994,47.58
"12",1995,199.5
"13",1996,651.5
"14",1997,318.1
"15",1998,731.8
"16",1999,265.62
"17",2000,1035.5
"18",2001,116.598
"19",2002,101.621
"20",2003,1812.4
"21",2004,21.304
"22",2005,1426.164
"23",2006,1743.118
"24",2007,55.981
"25",2008,94.792
"26",2009,22.475
"27",2010,142.083
"28",2011,134.531
"29",2012,44.523
"30",2013,199.122
"31",2014,3.893
