"","X1","X2"
"1",1965,3168.7
"2",1966,3590.4
"3",1967,3550.9
"4",1968,4460
"5",1969,4528.2
"6",1970,3042.9
"7",1971,3081.8
"8",1972,776.5
"9",1973,2608.7
"10",1974,1251.9
"11",1975,3208.77
"12",1976,4586.3
"13",1977,1070.6
"14",1978,2196.1
"15",1979,2946.9
"16",1980,2535
"17",1981,2271.8
"18",1982,1049.2
"19",1983,4138.7
"20",1984,717.6
"21",1985,348
"22",1986,167.3
"23",1987,677.1
"24",1988,2389
"25",1989,6732
"26",1990,2644
"27",1991,1972
"28",1992,2074
"29",1993,181.3
"30",1994,2196
"31",1995,228.9
"32",1996,726.8
"33",1997,86.59
"34",1998,1910
"35",1999,1257
"36",2000,3327.73
"37",2001,638.398
"38",2002,519.68
"39",2003,287.702
"40",2004,135.434
"41",2005,2879.821
"42",2006,2400.659
"43",2007,1630.318
"44",2008,1144.36
"45",2009,320.482
"46",2010,364.398
"47",2011,348.404
"48",2012,0
"49",2013,0
"50",2014,0
