"","X1","X2"
"1",1976,3139.3
"2",1977,1172.5
"3",1978,711.6
"4",1979,2780.7
"5",1980,3026.6
"6",1981,1556.1
"7",1982,244.7
"8",1983,4675.7
"9",1984,1170.4
"10",1985,226.9
"11",1986,393
"12",1987,824.7
"13",1988,2333.6
"14",1989,4114.1
"15",1990,3451
"16",1991,1566.34
"17",1992,2501
"18",1993,248
"19",1994,2060
"20",1995,317.2
"21",1996,1301
"22",1997,142.6
"23",1998,4664.18
"24",1999,1165.4
"25",2000,4763.615
"26",2001,668.935
"27",2002,1061.193
"28",2003,322.01
"29",2004,100.972
"30",2005,4484.48
"31",2006,1152.719
"32",2007,842.313
"33",2008,701.025
"34",2009,325.08
"35",2010,340.66
"36",2011,354.691
"37",2012,47.327
"38",2013,429.256
"39",2014,0
