"","X1","X2"
"1",1965,NA
"2",1966,84.75
"3",1967,3129.23
"4",1968,2730.3
"5",1969,4144.5
"6",1970,5021.3
"7",1971,4510.109
"8",1972,2139.72
"9",1973,4308.24
"10",1974,5850.71
"11",1975,2380
"12",1976,7086.49
"13",1977,4304.47
"14",1978,4259.4
"15",1979,5344.8
"16",1980,5571.5
"17",1981,4900.7
"18",1982,1659.3
"19",1983,4212.1
"20",1984,1803
"21",1985,3391.4
"22",1986,4786.2
"23",1987,1156.9
"24",1988,2990
"25",1989,211.5
"26",1990,2334.8
"27",1991,4308.6
"28",1992,4592
"29",1993,1900
"30",1994,4365
"31",1995,2162
"32",1996,966.7
"33",1997,1151.1
"34",1998,1161
"35",1999,2478.8
"36",2000,2910
"37",2001,2350
"38",2002,1191.75
"39",2003,1647.717
"40",2004,2098.774
"41",2005,3558.298
"42",2006,NA
"43",2007,NA
"44",2008,NA
"45",2009,NA
"46",2010,NA
"47",2011,NA
"48",2012,NA
"49",2013,NA
"50",2014,NA
"51",2015,NA
