"","X1","X2"
"1",1971,929.1
"2",1972,2270.5
"3",1973,1921.8
"4",1974,1869.3
"5",1975,3106.3
"6",1976,1701.8
"7",1977,1194.8
"8",1978,1915.2
"9",1979,3147
"10",1980,1625
"11",1981,1108.6
"12",1982,1668.8
"13",1983,2766
"14",1984,708.9
"15",1985,716.2
"16",1986,439.8
"17",1987,269.8
"18",1988,2064
"19",1989,1455
"20",1990,1073
"21",1991,1351
"22",1992,871.4
"23",1993,1444
"24",1994,2101
"25",1995,395.2
"26",1996,728.4
"27",1997,1350
"28",1998,380
"29",1999,1323
"30",2000,483.376
"31",2001,332.65
"32",2002,214.286
"33",2003,176.356
"34",2004,558.665
"35",2005,1342.931
"36",2006,1702.688
"37",2007,1990.808
"38",2008,1013.204
"39",2009,571.052
"40",2010,498.493
"41",2011,1000.923
"42",2013,72.022
"43",2014,238.004
