"","X1","X2"
"1",1965,NA
"2",1966,66.04
"3",1967,1730
"4",1968,1808.8
"5",1969,3788.3
"6",1970,2745
"7",1971,2549.9
"8",1972,2225.9
"9",1973,2419.2
"10",1974,2189.1
"11",1975,2901.8
"12",1976,1758.2
"13",1977,1740.7
"14",1978,2805
"15",1979,2032.6
"16",1980,3066.3
"17",1981,2578.2
"18",1982,4559.3
"19",1983,2616.9
"20",1984,2594.9
"21",1985,1901.9
"22",1986,2498.3
"23",1987,1076
"24",1988,2743
"25",1989,2974
"26",1990,2314
"27",1991,142.1
"28",1992,NA
"29",1993,NA
"30",1994,3437
"31",1995,1788
"32",1996,1538
"33",1997,3388
"34",1998,2286
"35",1999,2753
"36",2000,3036
"37",2001,1417
"38",2002,1452
"39",2003,1375
"40",2004,2993
"41",2005,3029.735
"42",2006,3516.142
"43",2007,1807.189
"44",2008,2868
"45",2009,3629.027
"46",2010,1741.477
"47",2011,2592.781
"48",2012,2544.25
"49",2013,115.581
