"","X1","X2"
"1",1978,NA
"2",1979,NA
"3",1980,2956.2
"4",1981,2337.2
"5",1982,4555.1
"6",1983,2233.9
"7",1984,3002.7
"8",1985,1972.5
"9",1986,2670
"10",1987,1223
"11",1988,2833
"12",1989,2970
"13",1990,2075
"14",1991,51.36
"15",1992,NA
"16",1993,NA
"17",1994,3656
"18",1995,1851
"19",1996,1531
"20",1997,2951.8
"21",1998,2035
"22",1999,3560.976
"23",2000,1278
"24",2001,1060.266
"25",2002,1197.115
"26",2003,943.794
"27",2004,3704
"28",2005,3685.36
"29",2006,2786.895
"30",2007,2125.697
"31",2008,6732
"32",2009,3126.597
"33",2010,1908.624
"34",2011,2639.168
"35",2012,3125.857
"36",2013,178.556
