"","X1","X2"
"1",1976,8742.2
"2",1977,6311.5
"3",1978,6174.4
"4",1979,8830
"5",1980,7912.2
"6",1981,7245.1
"7",1982,6504.9
"8",1983,9510.4
"9",1984,6601.3
"10",1985,5487.4
"11",1986,5224.5
"12",1987,4741
"13",1988,8935
"14",1989,7764
"15",1990,7752
"16",1991,8748
"17",1992,4415
"18",1993,5411
"19",1994,8261
"20",1995,3911
"21",1996,5342
"22",1997,8910
"23",1998,5464
"24",1999,7267
"25",2000,4831
"26",2001,4253.5
"27",2002,3915.836
"28",2003,1369.317
"29",2004,5306.914
"30",2005,7774.035
"31",2006,9193.005
"32",2007,7771.805
"33",2008,8299.938
"34",2009,13908.77
"35",2010,8097.146
"36",2011,5009.021
"37",2012,75.603
"38",2013,5991.846
"39",2014,61.471
"40",2015,87.95
