"","X1","X2"
"1",1964,NA
"2",1965,225.005
"3",1966,1139.7
"4",1967,1238
"5",1968,2314.567
"6",1969,2115
"7",1970,1985
"8",1971,1283.6
"9",1972,1924.3
"10",1973,1830
"11",1974,473.4
"12",1975,1729.9
"13",1976,2499.1
"14",1977,2192
"15",1978,2122
"16",1979,1730
"17",1980,2032
"18",1981,2365.7
"19",1982,1468
"20",1983,1336
"21",1984,1791
"22",1985,1590.8
"23",1986,1980
"24",1987,1086.6
"25",1988,932.1
"26",1989,1256
"27",1990,1794
"28",1991,1673
"29",1992,2393
"30",1993,1092
"31",1994,1844
"32",1995,1857
"33",1996,1190
"34",1997,1084
"35",1998,447.5
"36",1999,962.8
"37",2000,1518.212
"38",2001,1494.985
"39",2002,1511.301
"40",2003,1695.797
"41",2004,980.636
"42",2005,1469.671
"43",2006,963.183
"44",2007,1264.328
"45",2008,865.658
"46",2009,798.76
"47",2010,660.754
"48",2011,277.16
"49",2012,566.079
"50",2013,620.085
"51",2014,0
"52",2015,0
