"","X1","X2"
"1",1978,4.2
"2",1979,196.5
"3",1980,346.8
"4",1981,585.6
"5",1982,716.8
"6",1983,1329.64
"7",1984,1500.21
"8",1985,111.4
"9",1986,236.8
"10",1987,105.9
"11",1988,801.8
"12",1989,595.5
"13",1990,1263
"14",1991,381.5
"15",1992,240.7
"16",1993,98
"17",1994,82.66
"18",1995,493.8
"19",1996,330.3
"20",1997,202.4
"21",1998,1097
"22",1999,55.49
"23",2000,581.1
"24",2001,543.7
"25",2002,36.66
"26",2003,631.3
"27",2004,3.87
"28",2005,248.18
"29",2006,9.4
"30",2007,NA
"31",2008,NA
"32",2009,NA
"33",2010,NA
"34",2011,NA
"35",2012,NA
"36",2013,NA
"37",2014,NA
"38",2015,NA
