"","X1","X2"
"1",1981,11286.9
"2",1982,5418
"3",1983,14278.7
"4",1984,9761.6
"5",1985,8247.9
"6",1986,7706.4
"7",1987,4491
"8",1988,11556
"9",1989,11362
"10",1990,3310
"11",1991,5886
"12",1992,746.4
"13",1993,1198
"14",1994,6245
"15",1995,4218
"16",1996,6512
"17",1997,14050
"18",1998,16005
"19",1999,8276
"20",2000,5601
"21",2001,7914
"22",2002,4646.474
"23",2003,1452
"24",2004,7469
"25",2005,19808.439
"26",2006,18007.211
"27",2007,161.328
"28",2008,NA
"29",2009,NA
"30",2010,NA
"31",2011,NA
"32",2012,NA
"33",2013,NA
"34",2014,NA
"35",2015,NA
