"","X1","X2"
"1",1965,500
"2",1966,1484.9
"3",1967,1092.4
"4",1968,635.8
"5",1969,2396
"6",1970,2472.5
"7",1971,324.5
"8",1972,117.53
"9",1973,936.9
"10",1974,871.5
"11",1975,1604.5
"12",1976,4552.5
"13",1977,1023
"14",1978,5179.7
"15",1979,477.2
"16",1980,912.1
"17",1981,3002.9
"18",1982,1559
"19",1983,3344.7
"20",1984,664.4
"21",1985,1133.1
"22",1986,2808
"23",1987,1508.4
"24",1988,3390
"25",1989,6750
"26",1990,4090
"27",1991,2757
"28",1992,380.5
"29",1993,297.1
"30",1994,957.6
"31",1995,1801
"32",1996,2354
"33",1997,727.6
"34",1998,1478
"35",1999,625
"36",2000,3267.287
"37",2001,264.359
"38",2002,197.8
"39",2003,763.408
"40",2004,1064
"41",2005,3105.099
"42",2006,3798.981
"43",2007,864.211
"44",2008,4573.036
"45",2009,227.572
"46",2010,1578
"47",2011,662.489
"48",2012,40.657
"49",2013,1191.809
"50",2014,21.686
"51",2015,18.037
