"","X1","X2"
"1",1976,NA
"2",1977,17836.801
"3",1978,42494.398
"4",1979,32421.4
"5",1980,20708.199
"6",1981,21509.1
"7",1982,19049.1
"8",1983,57978.301
"9",1984,24911.199
"10",1985,16850
"11",1986,36488
"12",1987,6482
"13",1988,43504
"14",1989,33324
"15",1990,48542
"16",1991,28468
"17",1992,34603
"18",1993,19818
"19",1994,38797
"20",1995,27188
"21",1996,12023
"22",1997,9274
"23",1998,18474
"24",1999,4439
"25",2000,31402.229
"26",2001,32245.834
"27",2002,27108.838
"28",2003,32543.664
"29",2004,17974.283
"30",2005,42598.867
"31",2006,587.344
"32",2007,NA
"33",2008,NA
"34",2009,NA
"35",2010,NA
"36",2011,NA
"37",2012,NA
"38",2013,NA
"39",2014,NA
"40",2015,NA
