"","X1","X2"
"1",1972,4239
"2",1973,5659.1
"3",1974,3436.2
"4",1975,5781.2
"5",1976,6853.5
"6",1977,4953.1
"7",1978,3583.9
"8",1979,6070.2
"9",1980,5174.5
"10",1981,5166.1
"11",1982,3437.8
"12",1983,5111.4
"13",1984,4427
"14",1985,4413.8
"15",1986,4587
"16",1987,3290
"17",1988,4611
"18",1989,4982
"19",1990,4750
"20",1991,4129
"21",1992,3919
"22",1993,4051
"23",1994,3926
"24",1995,2796
"25",1996,4404
"26",1997,4637
"27",1998,3000
"28",1999,3338
"29",2000,2852.635
"30",2001,2593.78
"31",2002,3014.379
"32",2003,2072.511
"33",2004,4650.302
"34",2005,7786.367
"35",2006,2727.497
"36",2007,5173.244
"37",2008,3709.65
"38",2009,3327.719
"39",2010,3772.877
"40",2011,3217.781
"41",2012,0
"42",2013,5465.554
"43",2014,4197.112
"44",2015,0
"45",2016,NA
