"","X1","X2"
"1",1984,346.3
"2",1985,865.1
"3",1986,1268.8
"4",1987,110.8
"5",1988,859.7
"6",1989,1238
"7",1990,946.7
"8",1991,1306
"9",1992,147.9
"10",1993,80.44
"11",1994,419.1
"12",1995,554.6
"13",1996,356.1
"14",1997,91.39
"15",1998,411
"16",1999,303.9
"17",2000,867.1
"18",2001,98.365
"19",2002,73.22
"20",2003,142.4
"21",2004,303.754
"22",2005,130.37
"23",2006,802.226
"24",2007,431.271
"25",2008,673.926
"26",2009,13.615
"27",2010,412.454
"28",2011,211.589
"29",2012,14.692
"30",2013,301.706
"31",2014,11.409
"32",2015,14.237
