"","X1","X2"
"1",1965,NA
"2",1966,14764.7
"3",1967,9459.9
"4",1968,4739.6
"5",1969,18137.801
"6",1970,16438.6
"7",1971,6305.7
"8",1972,1489.97
"9",1973,14136.3
"10",1974,4767
"11",1975,11803.9
"12",1976,10527.2
"13",1977,5786
"14",1978,4204.2
"15",1979,6860
"16",1980,9000
"17",1981,5140.1
"18",1982,1697.8
"19",1983,23939.6
"20",1984,377.7
"21",1985,871.5
"22",1986,10981.5
"23",1987,353
"24",1988,13794
"25",1989,24900
"26",1990,23846
"27",1991,6463
"28",1992,5066
"29",1993,2257
"30",1994,2317
"31",1995,17200
"32",1996,3468
"33",1997,552.7
"34",1998,8209
"35",1999,8340
"36",2000,15840.215
"37",2001,2805.08
"38",2002,4251.574
"39",2003,4475.38
"40",2004,122.563
"41",2005,7376.301
"42",2006,9900.83
"43",2007,177.494
"44",2008,2560.363
"45",2009,284.143
"46",2010,7085.146
"47",2011,2132.989
"48",2012,672.8
"49",2013,5747.8
"50",2014,118.8
"51",2015,30.773
