"","X1","X2"
"1",1965,888.9
"2",1966,104.6
"3",1967,79.85
"4",1968,514.6
"5",1969,1567.7
"6",1970,1264.1
"7",1971,1633.6
"8",1972,192.96
"9",1973,755.8
"10",1974,604
"11",1975,1149.6
"12",1976,127
"13",1977,1686.3
"14",1978,1341.4
"15",1979,328.4
"16",1980,540
"17",1981,799.4
"18",1982,563.8
"19",1983,3200
"20",1984,709.5
"21",1985,48.6
"22",1986,1.6
"23",1987,440.9
"24",1988,1935
"25",1989,8327
"26",1990,1191
"27",1991,105.6
"28",1992,34.03
"29",1993,4.354
"30",1994,52.38
"31",1995,2.701
"32",1996,39.49
