"","X1","X2"
"1",1972,540
"2",1973,2258.5
"3",1974,4232.2
"4",1975,4488.5
"5",1976,568.2
"6",1977,2507.7
"7",1978,8504.4
"8",1979,3477.3
"9",1980,5258.3
"10",1981,5345.7
"11",1982,3160.7
"12",1983,2436.7
"13",1984,2943.1
"14",1985,1253.9
"15",1986,2903.5
"16",1987,1817
"17",1988,2644
"18",1989,2310
"19",1990,3451
"20",1991,3919
"21",1992,4390
"22",1993,4208
"23",1994,7793
"24",1995,1198
"25",1996,5592
"26",1997,2708
"27",1998,5421
"28",1999,3522
"29",2000,2826
"30",2001,3796.127
"31",2002,1090
"32",2003,663.8
"33",2004,2008
"34",2005,5187.94
"35",2006,5307.4
"36",2007,7446.325
"37",2008,5831.365
"38",2009,5372.604
"39",2010,5646.385
"40",2011,3120.333
"41",2012,37.599
"42",2013,4092.007
"43",2014,172.529
"44",2015,91.483
