"","X1","X2"
"1",1965,815.6
"2",1966,2092
"3",1967,1265
"4",1968,1001.37
"5",1969,3765
"6",1970,2173.7
"7",1971,1032.22
"8",1972,923.2
"9",1973,2907.97
"10",1974,540.23
"11",1975,2630.8
"12",1976,3141.2
"13",1977,2322
"14",1978,3023.6
"15",1979,1415
"16",1980,1431.7
"17",1981,928.4
"18",1982,273.9
"19",1983,1992.8
"20",1984,320.4
"21",1985,246.7
"22",1986,1484.8
"23",1987,1048.1
"24",1988,1806.9
"25",1989,1475.2
"26",1990,1610.1
"27",1991,306.53
"28",1992,1013
"29",1993,1203
"30",1994,891
"31",1995,457
"32",1996,896.1
"33",1997,422.5
"34",1998,1313
"35",1999,844.7
"36",2000,846
"37",2001,1594.875
"38",2002,2795.155
"39",2003,725.588
"40",2004,55.948
"41",2005,2140.052
