"","X1","X2"
"1",1972,125.4
"2",1973,7107.9
"3",1974,1616.2
"4",1975,6384
"5",1976,7559.3
"6",1977,9807.1
"7",1978,9393.5
"8",1979,6229.8
"9",1980,5090
"10",1981,5240
"11",1982,7380
"12",1983,5810
"13",1984,8200
"14",1985,8200
"15",1986,10335
"16",1987,3360
"17",1988,4300
"18",1989,6760
"19",1990,13635
"20",1991,8971
"21",1992,9009
"22",1993,4114
"23",1994,9791
"24",1995,9587
"25",1996,5971
"26",1997,3084
"27",1998,3406
"28",2001,15834
"29",2002,6770
"30",2003,8606
"31",2004,5580.367
"32",2005,349.081
"33",2006,NA
"34",2007,NA
"35",2008,NA
"36",2009,NA
"37",2010,NA
"38",2011,NA
"39",2012,NA
"40",2013,NA
"41",2014,NA
"42",2015,NA
