"","X1","X2"
"1",1986,707.14
"2",1987,68.3
"3",1988,624
"4",1989,478.1
"5",1990,1639
"6",1991,1883
"7",1992,2153
"8",1993,342.3
"9",1994,1030
"10",1995,768.3
"11",1996,157.7
"12",1997,164.8
"13",1998,349
"14",1999,1159.2
"15",2000,2185
"16",2001,1094.161
"17",2002,517.791
"18",2003,621.086
"19",2004,456.87
"20",2005,1286.692
"21",2006,788.583
"22",2007,847.782
"23",2008,597.4
"24",2009,404.266
"25",2010,511.206
"26",2011,520.963
"27",2012,307.997
"28",2013,612.957
"29",2014,348.689
"30",2015,14.159
