"","X1","X2"
"1",1965,20.5
"2",1966,1365
"3",1967,1551.2
"4",1968,2088.2
"5",1969,1822
"6",1970,1614.9
"7",1971,1315
"8",1972,1791.4
"9",1973,2488.6
"10",1974,610.48
"11",1975,1146.6
"12",1976,2058.8
"13",1977,1436.3
"14",1978,1931.7
"15",1979,1250
"16",1980,1627.8
"17",1981,1267.8
"18",1982,1253.8
"19",1983,1202.7
"20",1984,2230.3
"21",1985,888.9
"22",1986,1255.6
"23",1987,1085
"24",1988,560.8
"25",1989,831.1
"26",1990,1330
"27",1991,933.7
"28",1992,2510
"29",1993,1030
"30",1994,2070
"31",1995,1557
"32",1996,614.9
"33",1997,742.6
"34",1998,686.2
"35",1999,634.7
"36",2000,1990.838
"37",2001,1058.259
"38",2002,184.166
"39",2003,765.784
"40",2004,851.776
"41",2005,810.928
"42",2006,960.66
"43",2007,819.945
"44",2008,332.968
"45",2009,486.178
"46",2010,164.006
"47",2011,365.841
"48",2012,619.769
"49",2013,446.554
"50",2014,12.222
"51",2015,6.782
