"","X1","X2"
"1",1972,248.3
"2",1973,1721
"3",1974,1210.7
"4",1975,3506.2
"5",1976,273.8
"6",1977,2027.4
"7",1978,3575.8
"8",1979,1694.4
"9",1980,4001.9
"10",1981,2755.3
"11",1982,2642.6
"12",1983,3353.8
"13",1984,3070.9
"14",1985,1302.7
"15",1986,3006.4
"16",1987,436.8
"17",1988,1896
"18",1989,1321
"19",1990,3385
"20",1991,4263
"21",1992,4816
"22",1993,2559
"23",1994,5000
"24",1995,228.4
"25",1996,1290
"26",1997,4100
"27",1998,1921
"28",1999,2724
"29",2000,1727
"30",2001,368.9
"31",2002,341.419
"32",2003,162.08
"33",2004,NA
"34",2005,NA
"35",2006,NA
"36",2008,NA
"37",2009,NA
"38",2010,NA
"39",2011,NA
"40",2013,NA
"41",2014,NA
"42",2015,NA
