"","X1","X2"
"1",1979,NA
"2",1980,NA
"3",1981,NA
"4",1982,NA
"5",1983,309.16
"6",1984,144.27
"7",1985,29.51
"8",1986,76.5
"9",1987,30.5
"10",1988,315
"11",1989,197.7
"12",1990,38.1
"13",1991,606.4
"14",1992,52.4
"15",1993,72.49
"16",1994,571.7
"17",1995,13.802
"18",1996,316
"19",1997,1363
"20",1998,403.717
"21",1999,191.845
"22",2000,187.071
"23",2001,287.349
"24",2002,98.146
"25",2003,241.424
"26",2004,386.755
"27",2005,1198.393
"28",2006,1441.044
"29",2007,750.099
"30",2008,1278.73
"31",2009,139.5
"32",2010,248.761
"33",2011,407.646
"34",2012,180.372
"35",2013,292.016
"36",2014,0
