"","X1","X2"
"1",1965,461.005
"2",1966,18.8
"3",1967,129.386
"4",1968,10.94
"5",1969,427
"6",1970,825.3
"7",1971,47.8
"8",1972,19.49
"9",1973,45
"10",1974,442.8
"11",1975,492.6
"12",1976,460.3
"13",1977,139.5
"14",1978,1164.8
"15",1979,208.7
"16",1980,109.4
"17",1981,223.8
"18",1982,183.7
"19",1983,2249.5
"20",1984,202.9
"21",1985,587.6
"22",1986,406.4
"23",1987,104
"24",1988,1086
"25",1989,705.9
"26",1990,537.6
"27",1991,378.3
"28",1992,69.63
"29",1993,154.3
"30",1994,348.7
"31",1995,448.9
"32",1996,220.7
"33",1997,130.2
"34",1998,344.6
"35",1999,174.2
"36",2000,592.3
"37",2001,148.7
"38",2002,32.56
"39",2003,11.13
"40",2004,24.03
"41",2005,665.73
"42",2006,276.017
"43",2007,21.674
"44",2008,NA
"45",2009,NA
"46",2010,NA
"47",2011,NA
"48",2012,NA
"49",2013,NA
"50",2014,5.711
"51",2015,9.596
