"","X1","X2"
"1",1965,7586.52
"2",1966,6361.03
"3",1967,16292.9
"4",1968,9339.6
"5",1969,17960.301
"6",1970,12182.04
"7",1971,6563.31
"8",1972,15155.27
"9",1973,13929.839
"10",1974,10301.54
"11",1975,15036.08
"12",1976,24862.357
"13",1977,14516.64
"14",1978,18460.6
"15",1979,16606.4
"16",1980,11189.9
"17",1981,18015
"18",1982,10045
"19",1983,9282.8
"20",1984,12706
"21",1985,5880
"22",1986,8797.8
"23",1987,7297
"24",1988,4921
"25",1989,11315.5
"26",1990,19013
"27",1991,3781
"28",1992,12442
"29",1993,5183
"30",1994,20800
"31",1995,15679
"32",1996,4358
"33",1997,5011
"34",1998,5063
"35",1999,7969
"36",2000,9841.832
"37",2001,9384.492
"38",2002,5927.008
"39",2003,13851.393
"40",2004,7127.509
"41",2005,10384.536
"42",2006,11529.617
"43",2007,5466.72
"44",2008,12702.94
"45",2009,10446.173
"46",2010,11470.142
"47",2011,3390.731
"48",2012,5645.352
"49",2013,5178.418
"50",2014,60.573
"51",2015,73.419
