"","X1","X2"
"1",1965,146.06
"2",1966,426.147
"3",1967,4383.5
"4",1968,20661.662
"5",1969,33577.332
"6",1970,36547.648
"7",1971,18005.26
"8",1972,22129.41
"9",1973,32737.6
"10",1974,15558.858
"11",1975,32181.025
"12",1976,30499.932
"13",1977,27766.371
"14",1978,35306.301
"15",1979,33727.398
"16",1980,26479.6
"17",1981,51496
"18",1982,11749.5
"19",1983,30848.5
"20",1984,14784.1
"21",1985,12985.8
"22",1986,37216.602
"23",1987,11808.7
"24",1988,39623
"25",1989,20659
"26",1990,45336
"27",1991,24830
"28",1992,35140
"29",1993,17642
"30",1994,41042
"31",1995,40205
"32",1996,8721
"33",1997,12350
"34",1998,18132
"35",1999,19223
"36",2000,40942.34
"37",2001,36287.754
"38",2002,24839.697
"39",2003,18402.258
"40",2004,16745.635
"41",2005,23508.709
"42",2006,48287.242
"43",2007,8910.754
"44",2008,7646.577
"45",2009,7766.886
"46",2010,44200.625
"47",2011,26113.396
"48",2012,27119.465
"49",2013,57244.898
"50",2014,475.528
"51",2015,149.508
