"","X1","X2"
"1",1968,NA
"2",1969,1364.153
"3",1970,2654.6
"4",1971,1411.1
"5",1972,441.7
"6",1973,1498.2
"7",1974,620.6
"8",1975,4202.4
"9",1976,2886.5
"10",1977,2328.9
"11",1978,645.1
"12",1979,1749.7
"13",1980,4124.9
"14",1981,507.2
"15",1982,637
"16",1983,1877.3
"17",1984,677
"18",1985,320.6
"19",1986,372.6
"20",1987,1734
"21",1988,2649
"22",1989,3423
"23",1990,2961
"24",1991,951.8
"25",1992,1527
"26",1993,469.2
"27",1994,433.9
"28",1995,786.7
"29",1996,911.4
"30",1997,428.3
"31",1998,2698
"32",1999,1175
"33",2000,4971.572
"34",2001,1874.419
"35",2002,824.656
"36",2003,596.503
"37",2004,519.944
"38",2005,779.363
"39",2006,1547.531
"40",2007,268.702
"41",2008,509.278
"42",2009,466.477
"43",2010,1577.356
"44",2011,37.328
"45",2012,45.778
"46",2013,178.237
"47",2014,7.167
