"","X1","X2"
"1",1986,2.4
"2",1987,209.65
"3",1988,271.8
"4",1989,242.8
"5",1990,1253.38
"6",1991,299.9
"7",1992,1099
"8",1993,1044
"9",1994,814.3
"10",1995,372.5
"11",1996,278.5
"12",1997,338.6
"13",1998,342.2
"14",1999,996.89
"15",2000,533.2
"16",2001,180.86
"17",2002,474.807
"18",2003,1536.571
"19",2004,142.7
"20",2005,454.955
"21",2006,1362.472
"22",2007,835.734
"23",2008,87.784
"24",2009,2238.368
"25",2010,416.314
"26",2011,283.452
"27",2012,4548.247
"28",2013,279.79
"29",2014,2627.132
"30",2015,366.59
"31",2016,0.335
