"","X1","X2"
"1",1965,NA
"2",1966,NA
"3",1967,NA
"4",1968,NA
"5",1969,964.1
"6",1970,1222.7
"7",1971,1189.6
"8",1972,1092.2
"9",1973,1396.9
"10",1974,1304.1
"11",1975,1759
"12",1976,1103
"13",1977,1128.6
"14",1978,1244.3
"15",1979,1428.7
"16",1980,1102.9
"17",1981,1457.2
"18",1982,1368.2
"19",1983,1351.6
"20",1984,1514.3
"21",1985,1421.3
"22",1986,1048.4
"23",1987,872.6
"24",1988,1690
"25",1989,1340
"26",1990,1452
"27",1991,1107
"28",1992,773.1
"29",1993,1058
"30",1994,1002
"31",1995,710.9
"32",1996,878.8
"33",1997,1097.6
"34",1998,673.9
"35",1999,1135
"36",2000,853.538
"37",2001,594.563
"38",2002,329.362
"39",2003,537.691
"40",2004,836.087
"41",2005,794.069
"42",2006,748.716
"43",2007,714.136
"44",2008,685.545
"45",2009,687.078
"46",2010,696.893
"47",2011,696.994
"48",2012,559.455
"49",2013,639.958
"50",2014,710.481
