"","X1","X2"
"1",1965,NA
"2",1966,NA
"3",1967,34.8
"4",1968,537.5
"5",1969,2990.8
"6",1970,2715.5
"7",1971,899.1
"8",1972,128.5
"9",1973,856.8
"10",1974,613.9
"11",1975,1296.8
"12",1976,365.4
"13",1977,704.7
"14",1978,901.5
"15",1979,1125.3
"16",1980,791.7
"17",1981,582.9
"18",1982,462.2
"19",1983,3395.2
"20",1984,192
"21",1985,438.4
"22",1986,119.7
"23",1987,499.6
"24",1988,1760.4
"25",1989,1504.11
"26",1990,755.5
"27",1991,1091
"28",1992,1219
"29",1993,255.2
"30",1994,91.42
"31",1995,318.4
"32",1996,2486
"33",1997,67.33
"34",1998,3285
"35",1999,588.9
"36",2000,2857.54
"37",2001,822.742
"38",2002,18.287
"39",2003,277.273
"40",2004,169.037
"41",2005,1921.831
"42",2006,901.767
"43",2007,1205.591
"44",2008,1971.189
"45",2009,170.392
"46",2010,2011.75
"47",2011,23.208
"48",2012,11.578
"49",2013,24.268
"50",2014,0
"51",2015,0
