"","X1","X2"
"1",1985,NA
"2",1986,2044
"3",1987,73.2
"4",1988,968.7
"5",1989,357.3
"6",1990,329.9
"7",1991,1265.67
"8",1992,853.65
"9",1993,1098.69
"10",1994,1536.57
"11",1995,867.95
"12",1996,332.42
"13",1997,630.69
"14",1998,1017
"15",1999,483.6
"16",2000,376.8
"17",2001,315.062
"18",2002,738.523
"19",2003,508.82
"20",2004,273.483
"21",2005,1009.256
"22",2006,779.51
"23",2007,337.765
"24",2008,163.904
"25",2009,466.622
"26",2010,944.385
"27",2011,211.751
"28",2012,312.533
"29",2013,488.833
"30",2014,383.247
