"","X1","X2"
"1",1965,NA
"2",1966,36.2
"3",1967,1605
"4",1968,1068.1
"5",1969,1422.4
"6",1970,1554.9
"7",1971,1220.4
"8",1972,1219.3
"9",1973,2250.3
"10",1974,1334.2
"11",1975,2049.8
"12",1976,2006.9
"13",1977,1548.2
"14",1978,1417.9
"15",1979,1435.5
"16",1980,1747.4
"17",1981,1740.6
"18",1982,1471.8
"19",1983,1681.7
"20",1984,1715.1
"21",1985,1530.3
"22",1986,1346.9
"23",1987,1080
"24",1988,1833
"25",1989,2412
"26",1990,1675
"27",1991,2081
"28",1992,1178
"29",1993,1463
"30",1994,1234
"31",1995,869
"32",1996,980.1
"33",1997,1710
"34",1998,897.5
"35",1999,1199
"36",2000,1001
"37",2001,637.2
"38",2002,694.6
"39",2003,772.1
"40",2004,1340.8
"41",2005,1641
"42",2006,1408.867
"43",2007,1332.454
"44",2008,1361.334
"45",2009,1141.259
"46",2010,1145.125
"47",2011,1071.948
"48",2013,423.302
"49",2014,812.974
"50",2015,NA
