"","X1","X2"
"1",1968,NA
"2",1969,NA
"3",1970,846.771
"4",1971,1662.593
"5",1972,3116
"6",1973,2491.586
"7",1974,1118.2
"8",1975,2852.5
"9",1976,2208.7
"10",1977,4791.9
"11",1978,2818.69
"12",1979,2285.1
"13",1980,3280.7
"14",1981,2062.9
"15",1982,3617.4
"16",1983,3120.4
"17",1984,5134
"18",1985,1396
"19",1986,1671
"20",1987,897.6
"21",1988,1007
"22",1989,1125
"23",1990,3153
"24",1991,1386
"25",1992,2846
"26",1993,1129
"27",1994,4570
"28",1995,2382
"29",1996,1152
"30",1997,879.7
"31",1998,1029
"32",1999,1627.8
"33",2000,1383.176
"34",2001,1672.01
"35",2002,1592.539
"36",2003,1728.948
"37",2004,990.93
"38",2005,1566.59
"39",2006,1463.838
"40",2007,968.042
"41",2008,842.808
"42",2009,1012.638
"43",2010,897.882
"44",2011,706.327
"45",2012,996.628
"46",2013,930.658
"47",2014,109.457
"48",2015,127.941
