"","X1","X2"
"1",1965,925
"2",1966,2213.6
"3",1967,2404.1
"4",1968,696.2
"5",1969,2253.6
"6",1970,772.7
"7",1971,1354.5
"8",1972,918.9
"9",1973,1104.4
"10",1974,1278.2
"11",1975,1426.1
"12",1976,2757.1
"13",1977,958.7
"14",1978,929.6
"15",1979,2086
"16",1980,1907.5
"17",1981,1624
"18",1982,490
"19",1983,2409.6
"20",1984,565.3
"21",1985,339.9
"22",1986,507.9
"23",1987,502
"24",1988,1671
"25",1989,976.4
"26",1990,1733
"27",1991,1008
"28",1992,1219
"29",1993,831.3
"30",1994,2237
"31",1995,251.1
"32",1996,2046
"33",1997,1272
"34",1998,908.4
"35",1999,387
"36",2000,8.701
"37",2001,142.241
"38",2002,121.4
"39",2003,51.9
"40",2004,1368
"41",2005,1360.9
"42",2006,733.9
"43",2007,852.684
"44",2008,521.669
"45",2009,326.703
"46",2010,215.128
"47",2011,536.623
"48",2012,0
"49",2013,542.279
"50",2014,75.151
"51",2015,NA
