"","X1","X2"
"1",1984,NA
"2",1985,NA
"3",1986,3000
"4",1987,187.6
"5",1988,1111
"6",1989,700
"7",1990,1697.7
"8",1991,3464
"9",1992,3569.1
"10",1993,1655.9
"11",1994,14160.5
"12",1995,1078
"13",1996,853.6
"14",1997,2816.5
"15",1998,2609
"16",1999,3854.22
"17",2000,1116.92
"18",2001,1476.206
"19",2002,554.132
"20",2003,3395.784
"21",2004,857.053
"22",2005,3655.02
"23",2006,3172.837
"24",2007,1849.722
"25",2008,121.177
"26",2009,1562.335
"27",2010,994.206
"28",2011,869.076
"29",2012,5684.547
"30",2013,7955.412
"31",2014,2614.674
"32",2015,7.861
