"","X1","X2"
"1",1979,32.2
"2",1980,3.7
"3",1981,120.2
"4",1982,54.6
"5",1983,37.6
"6",1984,19.4
"7",1985,46.2
"8",1986,55.7
"9",1987,50.73
"10",1988,46.29
"11",1989,66.66
"12",1990,15.79
"13",1991,3.935
"14",1992,2.425
"15",1993,39.29
"16",1994,5.468
"17",1995,22.33
"18",1996,53.37
"19",1997,5.216
"20",1998,162.6
"21",1999,14.7
"22",2000,36.16
"23",2001,25.56
"24",2002,10.753
"25",2003,1.808
"26",2004,5.62
"27",2005,4.798
"28",2006,NA
"29",2007,NA
"30",2008,NA
"31",2009,NA
"32",2010,NA
"33",2012,NA
"34",2013,NA
"35",2014,NA
