"","X1","X2"
"1",1965,NA
"2",1966,NA
"3",1968,4384.8
"4",1969,2347.4
"5",1970,15204.008
"6",1971,4950.15
"7",1972,5225.34
"8",1973,8941.46
"9",1974,3705.67
"10",1975,10690.98
"11",1976,13513.68
"12",1977,8915.53
"13",1978,13380.17
"14",1979,13170
"15",1980,9284.5
"16",1981,11254.4
"17",1982,2568.1
"18",1983,7397.1
"19",1984,2355
"20",1985,5204.4
"21",1986,19320
"22",1987,1094.3
"23",1988,8904.1
"24",1989,6129.4
"25",1990,10742.8
"26",1991,7596.6
"27",1992,11761
"28",1993,5882
"29",1994,15027
"30",1995,13226
"31",1996,2931
"32",1997,5033
"33",1998,2272
"34",1999,1469
"35",2000,10.5
"36",2001,NA
"37",2002,1661.319
"38",2003,2366.301
"39",2004,2509.832
"40",2005,4961.42
"41",2006,3214.452
"42",2007,4744.249
"43",2008,4662.445
"44",2009,754.756
"45",2010,8723.343
"46",2011,5500.053
"47",2012,8450.264
"48",2013,8033.336
"49",2014,4805.477
"50",2015,62.953
