"","X1","X2"
"1",1964,NA
"2",1965,NA
"3",1966,NA
"4",1967,173.14
"5",1968,387.5
"6",1969,1692.7
"7",1970,1238
"8",1971,390.7
"9",1972,327.22
"10",1973,2254.3
"11",1974,623.1
"12",1975,1137
"13",1976,3457
"14",1977,807.3
"15",1978,975.3
"16",1979,745.1
"17",1980,556.6
"18",1981,540.9
"19",1982,210.5
"20",1983,1012.3
"21",1984,274.9
"22",1985,181
"23",1986,3085.7
"24",1987,1190
"25",1988,2504.4
"26",1989,1920
"27",1990,2336
"28",1991,259.3
"29",1992,414.3
"30",1993,352.5
"31",1994,70.38
"32",1995,281.17
"33",1996,191
"34",1997,71.15
"35",1998,398.4
"36",1999,371.8
"37",2000,314.355
"38",2001,58.144
"39",2002,332.399
"40",2003,111.314
"41",2004,22.739
"42",2005,449.91
"43",2006,10.067
"44",2007,90.926
"45",2008,65.566
"46",2009,18.163
"47",2010,73.847
"48",2011,98.227
"49",2012,194.063
"50",2013,269.309
"51",2014,0
