"","X1","X2"
"1",1965,867.8
"2",1966,3897.6
"3",1967,8333
"4",1968,2243.6
"5",1969,5511
"6",1970,2243.5
"7",1971,4356.8
"8",1972,3350.7
"9",1973,3654.6
"10",1974,3029.9
"11",1975,3640.5
"12",1976,8295.7
"13",1977,1943.2
"14",1978,2164
"15",1979,4359
"16",1980,3284.7
"17",1981,4690.5
"18",1982,2035.8
"19",1983,6691.1
"20",1984,2910
"21",1985,2373.3
"22",1986,2739.7
"23",1987,821.4
"24",1988,4005
"25",1989,4887
"26",1990,3934
"27",1991,4261
"28",1992,1624
"29",1993,2344
"30",1994,7698
"31",1995,232.7
"32",1996,5211
"33",1997,8120
"34",1998,5458
"35",1999,1028
"36",2000,148.594
"37",2001,1411.716
"38",2002,188.919
"39",2003,23.78
"40",2004,1053.985
"41",2005,7102.949
"42",2006,7671.66
"43",2007,2302.606
"44",2008,2411.603
"45",2009,3669
"46",2010,1375.33
"47",2011,4219
"48",2012,0
"49",2013,3399.169
"50",2014,1083.579
"51",2015,0
"52",2016,NA
