"","X1","X2"
"1",1964,25.665
"2",1965,8204.2
"3",1966,22250
"4",1967,15838.7
"5",1968,20148.9
"6",1969,15065.3
"7",1970,26646.242
"8",1971,13356
"9",1972,8571.48
"10",1973,27588.809
"11",1974,21127.199
"12",1975,24918.699
"13",1976,24084.699
"14",1977,14146
"15",1978,33617.102
"16",1979,28713.6
"17",1980,14121.1
"18",1981,33731.5
"19",1982,6157.8
"20",1983,20909.9
"21",1984,18683.4
"22",1985,9855.4
"23",1986,19494.699
"24",1987,6491.7
"25",1988,14907.9
"26",1989,12408
"27",1990,20044
"28",1991,19826
"29",1992,24823
"30",1993,9714
"31",1994,23300
"32",1995,15449
"33",1996,4887
"34",1997,7877
"35",1998,14796
"36",1999,16425
"37",2000,8543.61
"38",2001,13493.826
"39",2002,16445.533
"40",2003,14828.23
"41",2004,6180.008
"42",2005,13484.311
"43",2006,11329.096
"44",2007,14118.719
"45",2008,14222.877
"46",2009,6190.11
"47",2010,9934.459
"48",2011,8114.373
"49",2012,9307.014
"50",2013,9335.367
"51",2014,6125.076
"52",2015,109.891
