"","X1","X2"
"1",1965,423
"2",1966,10950
"3",1967,14790.8
"4",1968,7470.6
"5",1969,14346
"6",1970,14193.3
"7",1971,6915
"8",1972,3450.5
"9",1973,7795
"10",1974,13307.1
"11",1975,18512.9
"12",1976,14218.2
"13",1977,6792.6
"14",1978,17023.6
"15",1979,18619.9
"16",1980,13473.1
"17",1981,11661
"18",1982,6387.6
"19",1983,20711.699
"20",1984,3081.7
"21",1985,2798.7
"22",1986,10143.6
"23",1987,2319
"24",1988,12071
"25",1989,17619
"26",1990,12239
"27",1991,11306
"28",1992,4072
"29",1993,8022
"30",1994,11936
"31",1995,3764
"32",1996,12323
"33",1997,13120
"34",1998,25082
"35",1999,5864
"36",2000,8135.13
"37",2001,4486.009
"38",2002,416.713
"39",2003,577.9
"40",2004,1481
"41",2005,20544.801
"42",2006,14636.078
"43",2007,0
"44",2008,NA
"45",2009,NA
"46",2010,6954.427
"47",2011,11812.251
"48",2012,0
"49",2013,9015.685
"50",2014,44.001
"51",2015,0
