"","X1","X2"
"1",1965,1446.6
"2",1966,1480.3
"3",1967,1732.7
"4",1968,762.3
"5",1969,2488.2
"6",1970,2583.3
"7",1971,1395
"8",1972,201.21
"9",1973,934.7
"10",1974,731.1
"11",1975,1330.3
"12",1976,359.5
"13",1977,882.1
"14",1978,1155.5
"15",1979,1671.4
"16",1980,498.5
"17",1981,912.9
"18",1982,209.7
"19",1983,2439
"20",1984,1168.6
"21",1985,562
"22",1986,539.2
"23",1987,591.5
"24",1988,1571
"25",1989,2746
"26",1990,821.7
"27",1991,570.6
"28",1992,142.1
"29",1993,380.6
"30",1994,19.69
"31",1995,321.8
"32",1996,631
"33",1997,325.2
"34",1998,1860
"35",1999,156.9
"36",2000,936
"37",2001,522.1
"38",2002,73.167
"39",2003,6.406
"40",2004,164.62
"41",2005,331.928
"42",2006,355.72
"43",2007,262.154
"44",2008,1159.214
"45",2009,381.325
"46",2010,1125.792
"47",2011,64.694
"48",2012,0
"49",2013,179.053
"50",2014,11.068
