"","X1","X2"
"1",1965,4909.37
"2",1966,3607.4
"3",1967,6831.2
"4",1968,3405.2
"5",1969,10254.51
"6",1970,4903.12
"7",1971,4348.5
"8",1972,2796.3
"9",1973,4719.4
"10",1974,4408.2
"11",1975,5769.4
"12",1976,6097.6
"13",1977,2148.9
"14",1978,5033
"15",1979,9478.8
"16",1980,2382.7
"17",1981,6940.1
"18",1982,2006.1
"19",1983,6986
"20",1984,4213
"21",1985,2247.2
"22",1986,2296.7
"23",1987,1619
"24",1988,6579
"25",1989,8487
"26",1990,6041
"27",1991,3691
"28",1992,2519
"29",1993,2133
"30",1994,5178
"31",1995,1301
"32",1996,4112
"33",1997,6164
"34",1998,8325
"35",1999,1645
"36",2000,1538
"37",2001,2468.186
"38",2002,681.644
"39",2003,621.467
"40",2004,869.61
"41",2005,7898.735
"42",2006,9807.358
"43",2007,3176.562
"44",2008,3188.803
"45",2009,7979.916
"46",2010,2187.738
"47",2011,4939.235
"48",2012,0
"49",2013,3265.016
"50",2014,0
"51",2015,0
