FID,Shape,ID,GRIDCODE,Area0,zCode
0,"(655453.0565580761, 11604996.769103123)",1,0,2143.510009765625,1
1,"(638920.5887412205, 11619446.091842974)",1,0,66705.3984375,10
2,"(416173.52928765817, 11811008.182983823)",1,0,2222.669921875,100
3,"(641213.9385877267, 12034157.32618121)",1,0,10121.5,101
4,"(399806.31049323187, 11876398.444058241)",1,0,1975.4599609375,103
5,"(1089629.8603130258, 11947966.988222219)",1,0,1607.8499755859375,104
6,"(1285648.649509266, 12092222.790523935)",1,0,5129.2099609375,105
7,"(719692.3193460851, 12071940.282113994)",1,0,2199.139892578125,11
8,"(673405.7726051299, 12241640.38926251)",1,0,0.13739800453186035,110
9,"(829117.3639331424, 12249463.56494928)",2,0,47338.6015625,110
10,"(1233787.0637717736, 12165665.518290415)",1,0,1493.6500244140625,112
11,"(589250.1786475978, 11807081.231977962)",1,0,210160.0,113
12,"(590372.4919619915, 11847667.193168534)",1,0,2366.449951171875,116
13,"(673405.7726051299, 12241640.38926251)",1,0,0.13739800453186035,117
14,"(916880.841423627, 12297864.929159949)",2,0,107964.0,117
15,"(403227.53408250696, 11841522.252199512)",1,0,2407.919921875,118
16,"(673405.7726051299, 12241640.38926251)",1,0,0.13739800453186035,12
17,"(869490.9994656584, 12183486.0530212)",2,0,278027.0,12
18,"(403187.4653505664, 11815214.726266101)",1,0,580.4130249023438,120
19,"(375575.6967810393, 11932634.816443454)",1,0,1873.1400146484375,125
20,"(548634.2371030726, 11903522.296848096)",1,0,134654.0,127
21,"(608747.5870286541, 12178181.587977935)",1,0,5530.68017578125,129
22,"(837538.1358105991, 12368507.493505288)",1,0,4942.93994140625,15
23,"(606954.2915812688, 11565819.259322928)",1,0,2518.93994140625,16
24,"(381326.65428076027, 12214655.457406033)",1,0,5143.47998046875,17
25,"(1240312.4536956612, 12161998.76950933)",1,0,18109.599609375,19
26,"(524486.8983706798, 11729612.2549539)",1,0,9858.98046875,20
27,"(420134.9542143946, 11764978.473359814)",1,0,1013.4099731445312,21
28,"(602214.0816675377, 11808394.605656127)",1,0,219556.0,22
29,"(394607.7873028777, 12077696.261220241)",1,0,11367.099609375,26
30,"(673405.7726051299, 12241640.38926251)",1,0,0.13739800453186035,28
31,"(868958.4263369474, 12183917.891675536)",2,0,277447.0,28
32,"(392580.4221422545, 12147085.905111225)",1,0,599.0919799804688,31
