"","Location","zCode","Area","Length_mean","Length_max","Length_var","Slope_mean","Slope_max","Slope_var","Asp_mean","FARL","QMED","Latitude","Longitude","Altitude","Channel_slope","Total_channel_length","Channel_density","Channel_aspect_mean","Channel_aspect_var","Cult_mean","Cult_std","CultRF_mean","CultRF_std","Urban_mean","Urban_std","Forest_mean","Forest_std","NVG_mean","NVG_std","SQ4_mean","SQ4_mode","Annual_rain_mean","PET_mean","Start_year","End_year","District","Basin","Indept_river","Local_river"
"1","A.K. Bridge",1,2143.51000976562,62.3420652166,136.537484375,1199.12004793562,28.7456613644,692.882766724,1533.6492656545,0.441257557771505,0.936486135694439,17,14.7925,76.72611111,672.136791008,3.82498204362518,361.204211106635,0.168510624844775,24.112227714,0.433697827564,0.603609771729,0.0102460486631933,0.561215228271,0.0222185941997599,0.0533843589783,0.000252966731844564,0.171082903957,0.01363794487913,0.0189483997345,0.000621053866344974,1.48,1,1004.32697197426,950.470803215289,1979,2002,"Chitradurga","Krishna","Krishna","Chikkahagari"
"2","Ambabal",3,1923.81005859375,73.1463721779,130.226507813,1230.78105220089,25.4780412224,295.244884491,262.277655054506,-2.10333662497611,0.996843968686178,551.448,19.28833333,81.78972222,619.906781533,2.44907094838681,305.22182216349,0.15865486345705,240.530078206,0.492962130894,0.390715648578,0.029838735377554,0.390715648578,0.029838735377554,0.0336931146796,0.000338063147480177,0.489164894544,0.0489394345515127,0.00479226900981,0.000487621450672953,1,1,1549.86490133107,955.274281932463,1989,2015,"Bastar","Godavari","Godavari","Indravathi"
"3","Ashti",5,51579.30078125,338.596123212,642.3859375,22849.7976253555,33.3744344571,856.334915161,2132.66448146561,-0.976164768716835,0.996995673185983,15137.351,19.68444444,79.78611111,399.581447809,4.14679357960384,9059.81967500574,0.175648361605924,291.116863644,0.76863102044,0.470051661732,0.0790122624475924,0.335854857013,0.0481139831543592,0.0505593908659,0.0041438252427475,0.393519734873,0.101097752880532,0.000957345791695,6.99482806173978e-05,1.56074766355,1,1441.26845718871,1093.17222074429,1965,2016,"Gadchiroli","Godavari","Godavari","Wainganga"
"4","Babli",6,55251,416.21854029,744.501875,31458.1313525771,30.0129592796,1093.38935852,2518.93287751289,-0.143208540388968,0.973082512824266,3220.85,18.85305556,77.81444444,535.880724,3.83279912649244,9754.79141356293,0.176554115103128,341.731806075,0.62403193285,0.688651867078,0.0181108942940185,0.543635303025,0.0474324135600231,0.0686978635265,0.00537128468510474,0.0829328803715,0.0101188105941644,0.00956529230181,0.000692342253920126,2.0520984081,3,1043.9634606029,1052.1880693959,1965,1978,"Nanded","Godavari","Godavari","Godavari"
"5","Bamini (Balharsha)",8,46266.6373980045,278.98055752,714.0761875,22659.7453461366,28.4843175665,828.893661499,1454.25948490359,0.109253314437448,0.96656537973853,8675.3975,19.81305556,79.38111111,360.414322657,3.7586357270669,7961.43661820841,0.172077269193369,329.82412152,0.657756329594,0.605623060374,0.0248676027679321,0.556271929555,0.0302062046258993,0.0573774627676,0.00344063057306494,0.164732529071,0.0293389526485288,0.00021471453373,4.53988029716905e-06,1.75259515571,1,NA,NA,1965,2016,"Chandrapur","Godavari","Godavari","Wardha"
"6","Betmogra",11,2199.13989257812,75.4190276737,139.970609375,1512.21469845598,31.6553347342,221.831111908,566.838009408476,0.897104431421204,0.921938045463813,273.648,18.70694444,77.54472222,486.696489595,4.41851368247778,385.566888407358,0.175326221723596,33.0212380586,0.363041315748,0.634520158439,0.0168232533191258,0.574225582912,0.0194957079511934,0.0812591024925,0.00122688924058413,0.123822729423,0.0116193612091339,0,0,1.24137931034,1,1076.92760346841,1049.11850267017,1997,2014,"Nanded","Godavari","Godavari","Manar"
"7","Bhadrachalam",12,278027.137398005,671.210698958,1301.367625,76527.5894553729,35.3627382196,1205.02067566,2832.62442763123,-0.0180840762940267,0.997552437824466,28082.006,17.67555556,80.88305556,429.147936822,4.1250043688021,47853.5000346516,0.172118090638569,330.840651616,0.787337673599,0.513813634743,0.0636999881061988,0.410771898453,0.0577943909570892,0.0545330776464,0.00396051026457454,0.301887273015,0.0942131859130982,0.00483948432801,0.000653763098177276,1.69962307915,1,NA,NA,2007,2015,"Khammam","Godavari","Godavari","Godavari"
"8","Bishnur",15,4942.93994140625,80.99239866,169.578953125,1103.34689090804,37.945776996,840.584869385,2541.82473245091,-1.49492431480874,0.930820559852905,673.35,21.10555556,78.13138889,464.865848807,5.47384579072061,894.515765017371,0.18096836611834,238.245980668,0.781709582419,0.489688128153,0.0264873333979714,0.412453139941,0.0327638720196257,0.048581732134,0.000590394113798995,0.320877590934,0.0376695641176993,0.000298349936803,5.25174840262525e-06,1.33333333333,1,1041.26827969094,1044.13952947602,1987,2005,"Wardha","Godavari","Godavari","Wardha"
"9","Byaladahalli",16,2518.93994140625,56.9009949233,109.21834375,711.519680432641,29.2861488146,623.456115723,1681.8877636783,2.26164733735786,0.945616085191368,154.5,14.45027778,75.77583333,657.490207153,4.02309145616767,446.419797122252,0.177225264399527,133.357350285,0.392909036882,0.637119687296,0.0461213038726389,0.386302929232,0.0589460101082362,0.0591260319371,0.00119996541033709,0.186263794341,0.0436711080395886,0.00218441993959,4.01192982922495e-05,1.03225806452,1,936.057223463769,968.778987908811,1985,2013,"Davanagere","Krishna","Krishna","Haridra"
"10","Cherribeda",18,1025.16003417969,39.7419792359,82.4214921875,369.34211303631,40.3911415679,412.592887878,1925.89162164431,-1.89776206260239,0.998702235599827,433.984,19.64194444,81.49277778,645.310161641,2.28121478570565,153.72960078742,0.149956685455877,280.912387001,0.285441845115,0.274307650157,0.0186454159760699,0.253836075919,0.0140080689965216,0.0195439279931,2.9471893242687e-05,0.665958024434,0.0237501060202645,0,0,1,1,NA,NA,1996,2014,"Bastar","Godavari","Godavari","Bardha"
